Symbol
3MINDIA
AARTIDRUGS
AAVAS
ABB
ABBOTINDIA
ABCAPITAL
ABFRL
ABSLAMC
ACC
ADANIENT
ADANIGREEN
ADANIPORTS
ADANITRANS
AEGISCHEM
AETHER
AFFLE
AIAENG
AJANTPHARM
ALKEM
ALKYLAMINE
ALLCARGO
ALOKINDS
AMARAJABAT
AMBER
AMBUJACEM
ANGELONE
ANURAS
APLAPOLLO
APLLTD
APOLLOHOSP
APOLLOTYRE
APTUS
ASAHIINDIA
ASHOKLEY
ASIANPAINT
ASTERDM
ASTRAL
ASTRAZEN
ATGL
ATUL
AUBANK
AUROPHARMA
AVANTIFEED
AWL
AXISBANK
BAJAJ-AUTO
BAJAJELEC
BAJAJFINSV
BAJAJHLDNG
BAJFINANCE
BALAMINES
BALKRISIND
BALRAMCHIN
BANDHANBNK
BANKBARODA
BANKINDIA
BASF
BATAINDIA
BAYERCROP
BBTC
BCG
BDL
BEL
BERGEPAINT
BHARATFORG
BHARATRAS
BHARTIARTL
BHEL
BIOCON
BIRLACORPN
BLUEDART
BLUESTARCO
BORORENEW
BOSCHLTD
BPCL
BRIGADE
BRITANNIA
BSE
BSOFT
CAMPUS
CAMS
CANBK
CANFINHOME
CAPLIPOINT
CARBORUNIV
CASTROLIND
CCL
CDSL
CEATLTD
CENTRALBK
CENTURYPLY
CENTURYTEX
CERA
CESC
CGCL
CGPOWER
CHALET
CHAMBLFERT
CHEMPLASTS
CHOLAFIN
CHOLAHLDNG
CIPLA
CLEAN
COALINDIA
COCHINSHIP
COFORGE
COLPAL
CONCOR
COROMANDEL
CREDITACC
CRISIL
CROMPTON
CSBBANK
CUB
CUMMINSIND
CYIENT
DABUR
DALBHARAT
DBL
DCMSHRIRAM
DEEPAKFERT
DEEPAKNTR
DELHIVERY
DELTACORP
DEVYANI
DHANI
DIVISLAB
DIXON
DLF
DMART
DRREDDY
EASEMYTRIP
ECLERX
EDELWEISS
EICHERMOT
EIDPARRY
EIHOTEL
ELGIEQUIP
EMAMILTD
ENDURANCE
ENGINERSIN
EPL
EQUITASBNK
ESCORTS
EXIDEIND
FACT
FDC
FEDERALBNK
FINCABLES
FINEORG
FINPIPE
FLUOROCHEM
FORTIS
FSL
GAEL
GAIL
GALAXYSURF
GARFIBRES
GESHIP
GICRE
GLAND
GLAXO
GLENMARK
GMMPFAUDLR
GMRINFRA
GNFC
GOCOLORS
GODFRYPHLP
GODREJAGRO
GODREJCP
GODREJIND
GODREJPROP
GPPL
GRANULES
GRAPHITE
GRASIM
GREENPANEL
GRINDWELL
GRINFRA
GSFC
GSPL
GUJALKALI
GUJGASLTD
HAL
HAPPSTMNDS
HATSUN
HAVELLS
HCLTECH
HDFC
HDFCAMC
HDFCBANK
HDFCLIFE
HEG
HEROMOTOCO
HFCL
HGS
HIKAL
HINDALCO
HINDCOPPER
HINDPETRO
HINDUNILVR
HINDZINC
HLEGLAS
HOMEFIRST
HONAUT
HUDCO
IBREALEST
IBULHSGFIN
ICICIBANK
ICICIGI
ICICIPRULI
IDBI
IDEA
IDFC
IDFCFIRSTB
IEX
IFBIND
IGL
IIFL
IIFLWAM
INDHOTEL
INDIACEM
INDIAMART
INDIANB
INDIGO
INDIGOPNTS
INDOCO
INDUSINDBK
INDUSTOWER
INFIBEAM
INFY
INOXLEISUR
INTELLECT
IOB
IOC
IPCALAB
IRB
IRCTC
IRFC
ISEC
ITC
ITI
JAMNAAUTO
JBCHEPHARM
JBMA
JINDALSTEL
JKCEMENT
JKLAKSHMI
JKPAPER
JMFINANCIL
JSL
