Symbol
3MINDIA
8KMILES
AARTIIND
ABB
ABCAPITAL
ABFRL
ACC
ADANIGREEN
ADANIPORTS
ADANIPOWER
ADANITRANS
ADVENZYMES
AEGISCHEM
AIAENG
AJANTPHARM
AKZOINDIA
ALBK
ALKEM
ALLCARGO
AMARAJABAT
AMBUJACEM
ANDHRABANK
APLAPOLLO
APLLTD
APOLLOHOSP
APOLLOTYRE
ASHOKA
ASHOKLEY
ASIANPAINT
ASTERDM
ASTRAL
ATUL
AUBANK
AUROPHARMA
AVANTIFEED
AXISBANK
BAJAJ-AUTO
BAJAJCON
BAJAJELEC
BAJAJFINSV
BAJAJHLDNG
BAJFINANCE
BALKRISIND
BALMLAWRIE
BALRAMCHIN
BANDHANBNK
BANKBARODA
BANKINDIA
BASF
BATAINDIA
BBTC
BDL
BEL
BEML
BERGEPAINT
BHARATFORG
BHARTIARTL
BHEL
BIOCON
BIRLACORPN
BLISSGVS
BLUEDART
BLUESTARCO
BOMDYEING
BOSCHLTD
BPCL
BRIGADE
BRITANNIA
BSE
CADILAHC
CANBK
CANFINHOME
CAPLIPOINT
CARBORUNIV
CARERATING
CASTROLIND
CCL
CDSL
CEATLTD
CENTRALBK
CENTURYPLY
CERA
CGPOWER
CHAMBLFERT
CHENNPETRO
CHOLAFIN
CIPLA
COALINDIA
COCHINSHIP
COFFEEDAY
COLPAL
CONCOR
COROMANDEL
CORPBANK
CREDITACC
CRISIL
CROMPTON
CUB
CUMMINSIND
CYIENT
DABUR
DBCORP
DBL
DCAL
DCBBANK
DCMSHRIRAM
DEEPAKFERT
DELTACORP
DEN
DHFL
DISHTV
DIVISLAB
DIXON
DLF
DMART
DREDGECORP
DRREDDY
ECLERX
EDELWEISS
EICHERMOT
EIDPARRY
EIHOTEL
ELGIEQUIP
EMAMILTD
ENDURANCE
ENGINERSIN
EQUITAS
ERIS
EROSMEDIA
ESCORTS
EVEREADY
EXCELCROP
EXIDEIND
FCONSUMER
FDC
FEDERALBNK
FINCABLES
FINPIPE
FLFL
FORTIS
FRETAIL
FSL
GAIL
GALAXYSURF
GAYAPROJ
GDL
GEPIL
GESHIP
GET&D
GHCL
GICRE
GILLETTE
GLAXO
GLENMARK
GMDCLTD
GMRINFRA
GNFC
GODFRYPHLP
GODREJAGRO
GODREJCP
GODREJIND
GODREJPROP
GPPL
GRANULES
GRAPHITE
GRASIM
GREAVESCOT
GREENPLY
GRINDWELL
GRUH
GSFC
GSKCONS
GSPL
GUJALKALI
GUJFLUORO
GUJGASLTD
GULFOILLUB
GVKPIL
HAL
HATHWAY
HATSUN
HAVELLS
HCC
HCL-INSYS
HCLTECH
HDFC
HDFCBANK
HDFCLIFE
HEG
HEIDELBERG
HERITGFOOD
HEROMOTOCO
HEXAWARE
HFCL
HIMATSEIDE
HINDALCO
HINDCOPPER
HINDPETRO
HINDUNILVR
HINDZINC
HONAUT
HSCL
HUDCO
IBREALEST
IBULHSGFIN
IBVENTURES
ICICIBANK
ICICIGI
ICICIPRULI
ICIL
IDBI
IDEA
IDFC
IDFCFIRSTB
IEX
IFBIND
IFCI
IGL
IL&FSTRANS
INDHOTEL
INDIACEM
INDIANB
INDIGO
INDOCO
INDUSINDBK
INFIBEAM
INFRATEL
INFY
INOXLEISUR
INOXWIND
INTELLECT
IOB
IOC
IPCALAB
IRB
ISEC
ITC
ITDC
ITDCEM
ITI
J&KBANK
JAGRAN
JAICORPLTD
JBCHEPHARM
JCHAC
JETAIRWAYS
JINDALSAW
JINDALSTEL
JISLJALEQS
JKCEMENT
JKIL
JKLAKSHMI
JKTYRE
JMFINANCIL
JPASSOCIAT
JPPOWER
JSL
JSLHISAR
JSWENERGY
JSWSTEEL
JUBILANT
